Dimensi,Aspek,Arti,Perilaku Kuat,Perilaku Lemah
Motivation,Aversive (Berhati-hati),"Individu ini memiliki pemikiran terdorong untuk berhati-hati dan mampu memitigasi risiko. Mereka mengamati lingkungannya dengan seksama dan cenderung menghindari bahaya yang tidak perlu. Mereka secara konstan waspada dan berhati-hati mengenai siapa yang mereka izinkan masuk ke dalam lingkaran mereka. Mereka sangat patuh mengikuti aturan dan memperhatikan detail penting yang dapat memengaruhi kesejahteraan orang lain. Mereka mengantisipasi masalah dan niat buruk seseorang yang dapat merugikan. Mereka secara alami jeli dan mempersiapkan dengan cermat setiap resiko yang mungkin terjadi. Mereka selalu siap dan siaga, jadi pastikan untuk mendengarkan peringatan mereka.","Mereka waspada, terutama terhadap niat buruk seseorang.",Cenderung gegabah dalam mengambil keputusan.
Motivation,Aversive (Berhati-hati),"Individu ini memiliki pemikiran terdorong untuk berhati-hati dan mampu memitigasi risiko. Mereka mengamati lingkungannya dengan seksama dan cenderung menghindari bahaya yang tidak perlu. Mereka secara konstan waspada dan berhati-hati mengenai siapa yang mereka izinkan masuk ke dalam lingkaran mereka. Mereka sangat patuh mengikuti aturan dan memperhatikan detail penting yang dapat memengaruhi kesejahteraan orang lain. Mereka mengantisipasi masalah dan niat buruk seseorang yang dapat merugikan. Mereka secara alami jeli dan mempersiapkan dengan cermat setiap resiko yang mungkin terjadi. Mereka selalu siap dan siaga, jadi pastikan untuk mendengarkan peringatan mereka.",Mampu mengidentifikasi masalah atau resiko sebelum terjadi.,Terkadang mengabaikan detail penting yang mungkin membawa risiko.
Motivation,Aversive (Berhati-hati),"Individu ini memiliki pemikiran terdorong untuk berhati-hati dan mampu memitigasi risiko. Mereka mengamati lingkungannya dengan seksama dan cenderung menghindari bahaya yang tidak perlu. Mereka secara konstan waspada dan berhati-hati mengenai siapa yang mereka izinkan masuk ke dalam lingkaran mereka. Mereka sangat patuh mengikuti aturan dan memperhatikan detail penting yang dapat memengaruhi kesejahteraan orang lain. Mereka mengantisipasi masalah dan niat buruk seseorang yang dapat merugikan. Mereka secara alami jeli dan mempersiapkan dengan cermat setiap resiko yang mungkin terjadi. Mereka selalu siap dan siaga, jadi pastikan untuk mendengarkan peringatan mereka.",Berpegang pada aturan dan prosedur.,Ceroboh atas lingkungan mereka.
Motivation,Aversive (Berhati-hati),"Individu ini memiliki pemikiran terdorong untuk berhati-hati dan mampu memitigasi risiko. Mereka mengamati lingkungannya dengan seksama dan cenderung menghindari bahaya yang tidak perlu. Mereka secara konstan waspada dan berhati-hati mengenai siapa yang mereka izinkan masuk ke dalam lingkaran mereka. Mereka sangat patuh mengikuti aturan dan memperhatikan detail penting yang dapat memengaruhi kesejahteraan orang lain. Mereka mengantisipasi masalah dan niat buruk seseorang yang dapat merugikan. Mereka secara alami jeli dan mempersiapkan dengan cermat setiap resiko yang mungkin terjadi. Mereka selalu siap dan siaga, jadi pastikan untuk mendengarkan peringatan mereka.",Memperhitungkan setiap risiko dan dampak yang mungkin ditimbulkannya.,Mengabaikan antisipasi atas resiko.
Motivation,Collector (Kolektor),"Individu ini ingin mengetahui lebih banyak, baik tentang hal-hal yang menarik atau sebuah informasi. Mereka terus mencari kejelasan atau hanya untuk memuaskan rasa penasaran mereka. Mereka suka memperoleh dan menyimpan barang-barang itu di arsip mereka karena mereka atau orang lain mungkin akan mendapatinya berguna atau berharga di masa depan. Mereka suka membagikan apa yang mereka kumpulkan, baik itu benda atau pengetahuan atau sumber daya, sehingga dapat membawa manfaat bagi orang lain. Secara aktif bertanya dan menyelidiki kondisi saat ini membuat mereka memiliki arsip yang lebih lengkap dan menarik dibandingkan orang lain.",Mencari tahu lebih banyak dan memperbarui informasi.,Kurang rasa penasaran dan merasa puas dengan apa yang diinformasikan.
Motivation,Collector (Kolektor),"Individu ini ingin mengetahui lebih banyak, baik tentang hal-hal yang menarik atau sebuah informasi. Mereka terus mencari kejelasan atau hanya untuk memuaskan rasa penasaran mereka. Mereka suka memperoleh dan menyimpan barang-barang itu di arsip mereka karena mereka atau orang lain mungkin akan mendapatinya berguna atau berharga di masa depan. Mereka suka membagikan apa yang mereka kumpulkan, baik itu benda atau pengetahuan atau sumber daya, sehingga dapat membawa manfaat bagi orang lain. Secara aktif bertanya dan menyelidiki kondisi saat ini membuat mereka memiliki arsip yang lebih lengkap dan menarik dibandingkan orang lain.",Mengumpulkan hal-hal yang menurut mereka menarik karena mereka yakin dapat menggunakanya di kemudian hari.,Lebih memilih untuk membuang dibanding menyimpan barang.
Motivation,Collector (Kolektor),"Individu ini ingin mengetahui lebih banyak, baik tentang hal-hal yang menarik atau sebuah informasi. Mereka terus mencari kejelasan atau hanya untuk memuaskan rasa penasaran mereka. Mereka suka memperoleh dan menyimpan barang-barang itu di arsip mereka karena mereka atau orang lain mungkin akan mendapatinya berguna atau berharga di masa depan. Mereka suka membagikan apa yang mereka kumpulkan, baik itu benda atau pengetahuan atau sumber daya, sehingga dapat membawa manfaat bagi orang lain. Secara aktif bertanya dan menyelidiki kondisi saat ini membuat mereka memiliki arsip yang lebih lengkap dan menarik dibandingkan orang lain.",Terdorong untuk mencari kejelasan tentang situasi saat ini.,Merasa tidak perlu mencampuri urusan di luar bidang atau area yang menjadi minat mereka.
Motivation,Collector (Kolektor),"Individu ini ingin mengetahui lebih banyak, baik tentang hal-hal yang menarik atau sebuah informasi. Mereka terus mencari kejelasan atau hanya untuk memuaskan rasa penasaran mereka. Mereka suka memperoleh dan menyimpan barang-barang itu di arsip mereka karena mereka atau orang lain mungkin akan mendapatinya berguna atau berharga di masa depan. Mereka suka membagikan apa yang mereka kumpulkan, baik itu benda atau pengetahuan atau sumber daya, sehingga dapat membawa manfaat bagi orang lain. Secara aktif bertanya dan menyelidiki kondisi saat ini membuat mereka memiliki arsip yang lebih lengkap dan menarik dibandingkan orang lain.",Kesal ketika mereka ketinggalan informasi atau berita terbaru.,Jarang bertanya.
Motivation,Competitive (Kompetitif),"Individu yang memiliki talenta ini melihat kompetisi sebagai cara hidup. Menjadi yang terbaik adalah sebuah tujuan karena mereka suka menang dan tidak suka kalah. Mereka senantiasa melihat ke kiri dan kanan, sehingga mereka tidak tertinggal; hal ini mendorong mereka untuk berbuat lebih banyak, mencapai lebih tinggi, dan melampaui batas. Sangat penting bagi mereka untuk menjadi yang teratas; oleh karena itu, mereka menyukai hasil yang terukur dimana mereka dapat membandingkan diri mereka dengan yang terbaik. Mereka tahu mana yang harus diperjuangkan dan mana yang harus diabaikan. Ketika diragukan, mereka terdorong untuk membuktikan kemampuan mereka. Energi untuk menang ini tidak hanya memengaruhi cara mereka bekerja, tetapi juga mempengaruhi orang-orang di sekitar mereka untuk mencapai puncak bersamasama.",Senang bekerja dengan hasil yang jelas dan terukur.,Merasa baik-baik saja ketika berada dalam keadaan yang stagnan.
Motivation,Competitive (Kompetitif),"Individu yang memiliki talenta ini melihat kompetisi sebagai cara hidup. Menjadi yang terbaik adalah sebuah tujuan karena mereka suka menang dan tidak suka kalah. Mereka senantiasa melihat ke kiri dan kanan, sehingga mereka tidak tertinggal; hal ini mendorong mereka untuk berbuat lebih banyak, mencapai lebih tinggi, dan melampaui batas. Sangat penting bagi mereka untuk menjadi yang teratas; oleh karena itu, mereka menyukai hasil yang terukur dimana mereka dapat membandingkan diri mereka dengan yang terbaik. Mereka tahu mana yang harus diperjuangkan dan mana yang harus diabaikan. Ketika diragukan, mereka terdorong untuk membuktikan kemampuan mereka. Energi untuk menang ini tidak hanya memengaruhi cara mereka bekerja, tetapi juga mempengaruhi orang-orang di sekitar mereka untuk mencapai puncak bersamasama.",Membandingkan diri mereka dengan orang lain dan bersemangat Ketika mereka dapat mencapai lebih.,Kurang menganggap hasil kinerja terlalu serius.
